"value","nasad_URL_clean"
"Academy of Art University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1190"
"Alabama State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0362"
"Alfred University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0962"
"Anderson University (South Carolina)","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0372"
"Appalachian State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0121"
"Arcadia University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0570"
"Arizona State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0078"
"Arkansas State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0373"
"Arkansas Tech University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0374"
"Art Academy of Cincinnati","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1209"
"Auburn University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0378"
"Augusta University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0380"
"Augustana University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0382"
"Austin Peay State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0383"
"Azusa Pacific University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0856"
"Ball State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0089"
"Belhaven University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0123"
"Belmont University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0314"
"Benedict College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0893"
"Biola University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0388"
"Boise State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0244"
"Boston University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0261"
"Bowling Green State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0125"
"Bradley University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0392"
"Bridgewater State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0262"
"Brigham Young University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0061"
"Broward College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0547"
"Bucks County Community College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0696"
"Buffalo State, State University of New York","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0838"
"California College of the Arts","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1167"
"California Polytechnic State University San Luis Obispo","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0836"
"California State Polytechnic University, Humboldt","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0200"
"California State Polytechnic University, Pomona","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0219"
"California State University, Chico","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0397"
"California State University, Fresno","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0398"
"California State University, Fullerton","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0065"
"California State University, Long Beach","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0074"
"California State University, Los Angeles","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0220"
"California State University, Northridge","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0400"
"California State University, Sacramento","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0111"
"California State University, San Bernardino","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0399"
"California State University, Stanislaus","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0401"
"Carson-Newman University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0404"
"Casper College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0333"
"Cazenovia College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1501"
"Central Michigan University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0410"
"Central State University","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I0412"
"Chabot College","https://nasad.arts-accredit.org/directory-lists/accredited-institutions/search/?id=I1404"
